"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
18355,"DE",TRUE,"beta",5161,0.20228638,4.3946705,1.0948837,1.04091921232022,4.92878719726073,4.81297178727482,4.57575064979919,4.92878720073831,0.868131868131868,3.7810981601518,7.01445414488919,0.997612606768285,10,11,1,351,342,2.56410255679743,0,20.9279999999999,20.8489999999999,350,1051,0,16.5155677655678
12505,"DE",TRUE,"beta",8252,0.11803199,20.475351,0.6835938,0.702789357332249,2.80803560596487,3.25658502136427,3.34803108843647,2.80803560921036,3.07417582417582,6.58315365823342,22.8195732050497,0.984588852129154,31,45,14,139,146,5.03597118679157,0,64.2339999999999,63.9900000000001,350,1051,0,35.6913919413919
10244,"DE",TRUE,"beta",6167,0.26982325,5.778482,0.7230404,0.694479459974405,3.95011675503805,3.21185642746736,3.08498434840274,3.9501167592714,1.3543956043956,4.96830614335167,10.0521273943406,0.99571140708184,11,10,1,292,281,3.76712327477013,0,50.4280000000001,50.2250000000002,640,1921,0,21.2124542124542
9734,"DE",TRUE,"beta",6682,0.20218498,8.778744,0.7620454,0.750150443084063,1.56092496593091,4.8979827683549,4.82152893239633,1.56092496766057,1.72802197802198,6.25840094733331,14.3873893566584,0.993174579606643,16,14,2,249,267,7.22891563361881,0,84.951,84.6099999999999,860,2581,0,25.496336996337
7365,"DE",TRUE,"beta",7370,0.14016283,14.768411,0.3828587,0.38176018269078,0.286924995135478,3.72140119327466,3.71072356305399,0.286924995807798,2.97527472527473,7.13584820959146,22.6089260259809,0.98226046019879,32,37,5,146,146,0,0,87.9159999999999,87.5579999999998,570,1711,0,29.1098901098901
12493,"DE",TRUE,"beta",6377,0.16481104,17.795187,0.62233543,0.586087084525797,5.8245672138508,4.64929015888043,4.37848912817435,5.82456722195721,2.33241758241758,5.46240900042391,21.9472043671221,0.987578277916231,29,34,5,144,135,6.24999995659722,0,84.8099999999999,84.454,670,2011,0,24.1785714285714
16555,"DE",TRUE,"beta",5686,0.33186775,20.58241,0.18366551,0.206468312031494,12.4153968305427,2.31552176547855,2.60300298292554,12.4153968927787,2.56868131868132,5.12990585351564,31.5567667616952,0.977516344023906,26,5,21,88,89,1.13636362345041,0,55.569,55.364,400,1201,0,26.271978021978
5784,"DE",TRUE,"beta",6129,0.15173765,6.8271923,0.43651563,0.414330730219583,5.08226927168541,2.75044456052116,2.61065956146682,5.08226928148041,1.75549450549451,5.37674070969957,12.5287743635818,0.990629927846624,22,14,8,168,177,5.3571428252551,0,23.635,23.553,240,721,0,22.9322344322344
17293,"DE",TRUE,"beta",7744,0.19124484,6.6270456,0.88477415,0.869893047325213,1.68190974589027,4.00381799273708,3.93647738763341,1.68190974737114,1.72252747252747,5.97775179172877,11.8174402740582,0.99608204314094,11,15,4,360,348,3.33333332407407,0,43.525,43.351,400,1201,0,37.6181318681319
13099,"DE",TRUE,"beta",7009,0.09516336,5.0885196,0.74771476,0.726199757010188,2.87743456622915,3.9951894102908,3.88023044905902,2.87743456935724,1.61263736263736,5.67261592464812,9.03046776347065,0.9955692824524,18,19,1,323,316,2.16718265582916,0,48.384,48.202,480,1441,0,23.5265567765568
9380,"DE",TRUE,"beta",7316,0.07135046,19.568115,0.2334199,0.237508122286622,1.75144547191906,2.1253211610949,2.1625450024941,1.75144547859837,3.67582417582418,5.90725015515717,45.4597765893312,0.952936008580618,57,85,28,71,64,9.85915479071613,0,204.977,204.268,880,2641,0,27.8681318681319
12399,"DE",TRUE,"beta",5476,0.33290723,7.9512506,0.27724117,0.267169603530087,3.63278168014692,2.14886934093997,2.07080560891043,3.63278169155968,1.78846153846154,4.57507581153785,20.8291675732655,0.991531566858872,2,2,0,207,220,6.28019320637588,0,55.218,55.001,580,1741,0,23.1794871794872
