"sim_idx","method","converged","true_beta","true_R0","pred_beta","pred_R0","n","prevalence","recov","incub","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","total_true","total_pred","dieout_pred","err_beta_pct","err_R0_pct","time_sec","cpu_sec","n_evals","n_model_runs"
7924,"Oracle",TRUE,0.63472605,2.6939147,0.63472605,2.6939147,6621,0.23259327,0.23561475,9.786703,1.61950549450549,4.63999277661431,14.6269176881526,0.994109779689646,15,15,0,192,171,10.9374999430339,6026,6031.5,0,0,0,NA,NA,NA,NA
7924,"ABC",TRUE,0.63472605,2.6939147,0.608483553588708,2.58253591334459,6621,0.23259327,0.23561475,9.786703,1.59752747252747,4.55212485102734,15.0615659033848,0.99422906857383,15,16,1,192,166,13.5416665961372,6026,5967.5,0,4.13445376422701,4.13445701568946,NA,NA,NA,NA
7924,"ABC-SMC",TRUE,0.63472605,2.6939147,0.624482983893577,2.65044095878368,6621,0.23259327,0.23561475,9.786703,1.62774725274725,4.610889523487,15.3149551997258,0.994085476029579,15,15,0,192,169,11.9791666042752,6026,6001.5,0,1.61377494569091,1.61377511613745,NA,NA,NA,NA
7924,"NelderMead",TRUE,0.63472605,2.6939147,0.590050758652505,2.50430314168576,6621,0.23259327,0.23561475,9.786703,1.64423076923077,4.69824318346646,15.8505672115988,0.994077498885557,15,15,0,192,163,15.1041665879991,6026,5925.5,0,7.03850440082789,7.03851120189989,NA,NA,NA,NA
7924,"DE",TRUE,0.63472605,2.6939147,0.635664438770075,2.69789747360925,6621,0.23259327,0.23561475,9.786703,1.60164835164835,4.57072024045265,14.4549754820876,0.994290629542575,15,15,0,192,172,10.4166666124132,6026,6032,0,0.147841307547064,0.147843290317128,NA,NA,NA,NA
7924,"BiLSTM",TRUE,0.63472605,2.6939147,0.620307266712189,2.64965987205505,6621,0.23259327,0.23561475,9.786703,1.61950549450549,4.6031373677497,15.179517719539,0.994087834486357,15,15,0,192,168,12.4999999348958,6026,5995.5,0,2.27165098569713,1.64276959167454,NA,NA,NA,NA
8086,"Oracle",TRUE,0.16394833,1.5575309,0.16394833,1.5575309,9811,0.19569871,0.10526168,9.3704405,2.13873626373626,4.67023836368406,18.9965354045373,0.992690722724489,2,2,0,177,183,3.38983048932299,7268,7084.5,0,0,0,NA,NA,NA,NA
8086,"ABC",TRUE,0.16394833,1.5575309,0.166085386770539,1.57783332710004,9811,0.19569871,0.10526168,9.3704405,2.12912087912088,4.61036815292385,19.7334563829853,0.992743433426842,2,2,0,177,184,3.95480223754349,7268,7155,0,1.30348612619459,1.30349992189823,NA,NA,NA,NA
8086,"ABC-SMC",TRUE,0.16394833,1.5575309,0.167291134156906,1.58928808809537,9811,0.19569871,0.10526168,9.3704405,2.09340659340659,4.54147553114624,19.861702041072,0.992945630494829,2,2,0,177,184,3.95480223754349,7268,7163,0,2.03892517090859,2.03894302873476,NA,NA,NA,NA
8086,"NelderMead",TRUE,0.16394833,1.5575309,0.170227847280171,1.61718725447067,9811,0.19569871,0.10526168,9.3704405,2.15659340659341,4.60947423761677,17.5624596036732,0.992788535675515,2,2,0,177,184,3.95480223754349,7268,7278,0,3.83015732981099,3.8301850813245,NA,NA,NA,NA
8086,"DE",TRUE,0.16394833,1.5575309,0.165386564811388,1.57119442527792,9811,0.19569871,0.10526168,9.3704405,2.10302197802198,4.62175041765313,18.364325081245,0.992748826256561,2,2,0,177,184,3.95480223754349,7268,7126.5,0,0.877243482109988,0.877254923505582,NA,NA,NA,NA
8086,"BiLSTM",TRUE,0.16394833,1.5575309,0.172572016716003,1.55489325523376,9811,0.19569871,0.10526168,9.3704405,2.17032967032967,4.60679145094799,19.3690392425378,0.992957141698706,2,2,0,177,184,3.95480223754349,7268,7326,0,5.2599706970461,0.169347720341092,NA,NA,NA,NA
8862,"Oracle",TRUE,0.8812183,3.6399815,0.8812183,3.6399815,9557,0.13550277,0.24209417,16.00529,2.17857142857143,5.2521581121635,15.0616163949872,0.995042978048299,28,27,1,213,196,7.98122061980648,9206,9205,0,0,0,NA,NA,NA,NA
8862,"ABC",TRUE,0.8812183,3.6399815,5195.86223936235,21462.1535056476,9557,0.13550277,0.24209417,16.00529,3.15521978021978,7.34346723210576,16.6001343705666,0.992758918385831,28,26,2,213,217,1.87793426348388,9206,9301.5,0,589521.929565359,589522.436554231,NA,NA,NA,NA
8862,"ABC-SMC",TRUE,0.8812183,3.6399815,0.772851450035072,3.19235878350591,9557,0.13550277,0.24209417,16.00529,3.22252747252747,7.5315271425456,18.0328889716776,0.990780234070398,28,31,3,213,175.5,17.6056337201613,9206,9046,0,12.2973759159528,12.2973864982617,NA,NA,NA,NA
8862,"NelderMead",TRUE,0.8812183,3.6399815,0.791463554646908,3.26923839036235,9557,0.13550277,0.24209417,16.00529,2.99587912087912,6.90541474114718,17.445227177128,0.991968485414161,28,28,0,213,179,15.962441239613,9206,9073.5,0,10.18529046664,10.1852992325554,NA,NA,NA,NA
8862,"DE",TRUE,0.8812183,3.6399815,0.797863981642737,3.29567614801603,9557,0.13550277,0.24209417,16.00529,2.875,6.64364730028239,16.6214955826835,0.99244900290142,28,29,1,213,181,15.023474107871,9206,9093.5,0,9.45897557591658,9.45898371720112,NA,NA,NA,NA
8862,"BiLSTM",TRUE,0.8812183,3.6399815,0.856163799762726,3.53176140785217,9557,0.13550277,0.24209417,16.00529,2.26098901098901,5.40248213202165,14.7171297091811,0.994644418043844,28,28,0,213,192,9.85915488329035,9206,9174,0,2.84316290363524,2.97309374833059,NA,NA,NA,NA
9237,"Oracle",TRUE,0.46199816,2.908883,0.46199816,2.908883,7242,0.032173432,0.15882322,13.153119,2.01236263736264,4.23202403969158,19.2394280174705,0.991678509698318,61,52,9,122,113,7.37704911986025,6739,6709.5,0,0,0,NA,NA,NA,NA
9237,"ABC",TRUE,0.46199816,2.908883,0.450065425572027,2.83375079268653,7242,0.032173432,0.15882322,13.153119,1.97527472527473,4.14387539589492,19.2993236617338,0.991600942214999,61,53,8,122,110,9.836065493147,6739,6658,0,2.58284764586433,2.58285333184376,NA,NA,NA,NA
9237,"ABC-SMC",TRUE,0.46199816,2.908883,0.45203550761747,2.84615503713796,7242,0.032173432,0.15882322,13.153119,1.96840659340659,4.12568675601908,19.6868514111175,0.991711790739187,61,52,9,122,110,9.836065493147,6739,6676.5,0,2.15642218538449,2.15642709926006,NA,NA,NA,NA
9237,"NelderMead",TRUE,0.46199816,2.908883,0.457810297981598,2.8825148991539,7242,0.032173432,0.15882322,13.153119,2.01785714285714,4.20254697759598,19.0561840724044,0.991633318741823,61,53,8,122,112,8.19672124428917,6739,6701.5,0,0.906465288465457,0.90646793911686,NA,NA,NA,NA
9237,"DE",TRUE,0.46199816,2.908883,0.457867666918845,2.88287611168471,7242,0.032173432,0.15882322,13.153119,1.99313186813187,4.18354639505294,19.000314248697,0.991706734370965,61,51,10,122,112,8.19672124428917,6739,6697.5,0,0.894047747003476,0.894050375171027,NA,NA,NA,NA
9237,"BiLSTM",TRUE,0.46199816,2.908883,0.434721618890762,2.76115155220032,7242,0.032173432,0.15882322,13.153119,2.23076923076923,4.63191864454357,20.9736224580312,0.989698147081249,61,53,8,122,105,13.9344261152916,6739,6609,0,5.90402396169674,5.07862973565403,NA,NA,NA,NA
10462,"Oracle",TRUE,0.7175569,4.7050433,0.7175569,4.7050433,6792,0.093786806,0.15250804,14.211906,1.41483516483516,3.8489687501408,12.946782552175,0.995550304418936,26,29,3,173,162,6.35838146613652,6675,6655,0,0,0,NA,NA,NA,NA
10462,"ABC",TRUE,0.7175569,4.7050433,0.905874352304288,5.93984653074217,6792,0.093786806,0.15250804,14.211906,3.50824175824176,8.85924735721177,16.344700159888,0.981705164235151,26,26,0,173,189,9.24855485983494,6675,6700,0,26.2442169899165,26.2442423919828,NA,NA,NA,NA
10462,"ABC-SMC",TRUE,0.7175569,4.7050433,0.719135061034071,4.71539114288054,6792,0.093786806,0.15250804,14.211906,1.43818681318681,3.85476371476947,12.3670391624863,0.995560997493118,26,29,3,173,162,6.35838146613652,6675,6668.5,0,0.219935009296244,0.219930827867868,NA,NA,NA,NA
10462,"NelderMead",TRUE,0.7175569,4.7050433,0.717356517506935,4.70372917720885,6792,0.093786806,0.15250804,14.211906,1.42857142857143,3.85271418527336,14.1752542737335,0.99555163627515,26,31,5,173,163,5.78034678739684,6675,6667,0,0.0279256200879522,0.0279300832757198,NA,NA,NA,NA
10462,"DE",TRUE,0.7175569,4.7050433,0.689182457157905,4.51899098013393,6792,0.093786806,0.15250804,14.211906,1.51923076923077,4.07754504896925,12.4025332790514,0.995031810064879,26,31,5,173,158,8.67052018109526,6675,6644,0,3.95430707990184,3.95431600646289,NA,NA,NA,NA
10462,"BiLSTM",TRUE,0.7175569,4.7050433,0.72221702337265,4.70778131484985,6792,0.093786806,0.15250804,14.211906,1.44642857142857,3.89394077064286,12.9896294271133,0.995469749425021,26,29,3,173,162.5,6.06936412676668,6675,6659.5,0,0.649442138766794,0.0581931789644084,NA,NA,NA,NA
11813,"Oracle",TRUE,0.3589682,3.3652668,0.3589682,3.3652668,9158,0.18071632,0.10666858,5.0622773,1.70879120879121,5.70316569118406,8.39857376297465,0.996439169877659,19,16,3,319,291,8.77742943956919,8530,8507,0,0,0,NA,NA,NA,NA
11813,"ABC",TRUE,0.3589682,3.3652668,0.342059645232783,3.20675165294957,9158,0.18071632,0.10666858,5.0622773,1.78983516483516,6.09714173712875,8.06421488284325,0.99622659573341,19,16,3,319,278.5,12.6959247250911,8530,8448.5,0,4.71030795043615,4.71032786901625,NA,NA,NA,NA
