"sim_idx","generation","epsilon","next_epsilon","accept_rate","n_sims","ess"
17407,1,NA,117.907200515762,1,200,200
17407,2,117.907200515762,107.457802288527,0.37243947858473,368,196.646306974029
17407,3,107.457802288527,89.0160940079075,0.415800415800416,406,195.592903341143
17407,4,89.0160940079075,66.246606998247,0.347826086956522,470,196.163422167361
17407,5,66.246606998247,42.2726151047157,0.37037037037037,441,198.546227182408
17407,6,42.2726151047157,22.2452302964446,0.419287211740042,421,198.497194361433
15440,1,NA,33.4343911538883,1,200,200
15440,2,33.4343911538883,30.3944478828773,0.35778175313059,389,194.461703485704
15440,3,30.3944478828773,26.24361663151,0.374531835205993,439,197.885748750742
15440,4,26.24361663151,21.6529183257684,0.347222222222222,476,197.059701788873
15440,5,21.6529183257684,15.1085350301044,0.417536534446764,412,197.198549513002
15440,6,15.1085350301044,9.93749270524736,0.379506641366224,455,197.659510658318
10406,1,NA,72.3606443244826,1,200,200
10406,2,72.3606443244826,66.337235254809,0.303030303030303,432,195.907513745949
10406,3,66.337235254809,57.299363731969,0.37037037037037,442,197.196631349574
10406,4,57.299363731969,45.342333064119,0.389105058365759,425,195.827853243413
10406,5,45.342333064119,30.934038047874,0.384615384615385,441,197.141722666596
10406,6,30.934038047874,18.4662613701846,0.363636363636364,450,199.380708673638
6517,1,NA,132.807894225244,1,200,200
6517,2,132.807894225244,124.099677553922,0.30441400304414,449,197.049239376877
6517,3,124.099677553922,110.37207246651,0.431965442764579,401,194.347193749839
6517,4,110.37207246651,88.0837235275884,0.367647058823529,448,196.943730201457
6517,5,88.0837235275884,53.2339643606434,0.380228136882129,452,195.190516521129
6517,6,53.2339643606434,28.2848767635324,0.359712230215827,460,197.759368015036
971,1,NA,58.3793573821699,1,200,200
971,2,58.3793573821699,56.1122746117175,0.264200792602378,508,197.00028542128
971,3,56.1122746117175,53.1005353368505,0.368324125230203,451,197.906839165235
971,4,53.1005353368505,48.8929380559039,0.408997955010225,425,193.813712113881
971,5,48.8929380559039,42.849216904183,0.404040404040404,407,195.864461984555
971,6,42.849216904183,32.4937554672346,0.455580865603645,372,196.218172084054
16487,1,NA,115.292770094457,1,200,200
16487,2,115.292770094457,108.265051728462,0.352733686067019,392,195.541673999616
16487,3,108.265051728462,100.324474970645,0.35778175313059,441,197.78218777702
16487,4,100.324474970645,86.9275673156052,0.371747211895911,442,196.487468754154
16487,5,86.9275673156052,67.8756612971731,0.449438202247191,394,195.095590959486
16487,6,67.8756612971731,43.4721254551926,0.383877159309021,457,195.008406850841
19730,1,NA,41.6557054145591,1,200,200
19730,2,41.6557054145591,38.9892753993633,0.27359781121751,494,196.832877706484
19730,3,38.9892753993633,34.2973496223434,0.32,512,198.065785721326
19730,4,34.2973496223434,28.8384661603464,0.37593984962406,448,196.679891956845
19730,5,28.8384661603464,21.2457811943305,0.4,409,196.956712346284
19730,6,21.2457811943305,13.8570733646676,0.408163265306122,417,197.897771268437
13137,1,NA,33.8613638038578,1,200,200
13137,2,33.8613638038578,30.6325384615971,0.336134453781513,384,196.603284569699
13137,3,30.6325384615971,26.1776743129378,0.347826086956522,467,197.495491017779
13137,4,26.1776743129378,19.7033623217002,0.348432055749129,467,196.729792200524
13137,5,19.7033623217002,11.9880034440493,0.337268128161889,489,198.661998151456
13137,6,11.9880034440493,8.03903864661983,0.366300366300366,500,198.456418719804
3669,1,NA,54.3875101890153,1,200,200
3669,2,54.3875101890153,51.380668684175,0.333889816360601,386,196.379887119517
3669,3,51.380668684175,46.526383222966,0.364963503649635,457,196.404433038036
3669,4,46.526383222966,38.0572692787798,0.37593984962406,437,196.819709160981
3669,5,38.0572692787798,26.4390069981646,0.319488817891374,530,196.7769580704
3669,6,26.4390069981646,16.329995269434,0.366300366300366,463,198.418461315809
15983,1,NA,128.327768156256,1,200,200
15983,2,128.327768156256,120.105039841647,0.344827586206897,405,197.079858046387
15983,3,120.105039841647,107.78549457712,0.340715502555366,507,196.193561168827
15983,4,107.78549457712,91.3608578060048,0.322061191626409,513,195.465722283658
15983,5,91.3608578060048,70.5052174511904,0.362976406533575,447,197.338568081286
15983,6,70.5052174511904,46.4468209286122,0.36231884057971,458,197.280202041266
4058,1,NA,77.1893858454441,1,200,200
4058,2,77.1893858454441,69.1350305370483,0.36036036036036,369,195.90502903414
4058,3,69.1350305370483,57.0951025263854,0.379506641366224,434,196.510652202004
4058,4,57.0951025263854,41.4536588581127,0.355871886120996,462,196.208233077232
4058,5,41.4536588581127,28.1234194934687,0.397614314115308,415,198.285807238362
4058,6,28.1234194934687,18.5176206040958,0.458715596330275,398,197.503594568732
14976,1,NA,76.9696120426219,1,200,200
14976,2,76.9696120426219,71.101943231103,0.302114803625378,445,196.835785974246
14976,3,71.101943231103,60.9042662768476,0.392156862745098,438,197.260326937702
14976,4,60.9042662768476,45.2807378145751,0.424628450106157,394,195.567096814705
14976,5,45.2807378145751,31.0286961827671,0.341880341880342,471,198.881030755164
14976,6,31.0286961827671,17.938279801707,0.373831775700935,476,199.596619330998
15698,1,NA,63.6090575342398,1,200,200
15698,2,63.6090575342398,61.3794375962149,0.340136054421769,375,196.900882407912
15698,3,61.3794375962149,58.4858706539626,0.351493848857645,460,197.797496452136
15698,4,58.4858706539626,53.9447969556007,0.37243947858473,465,196.57985575798
15698,5,53.9447969556007,47.2762468730833,0.403225806451613,414,195.820682930326
15698,6,47.2762468730833,34.7130108456687,0.371747211895911,453,196.25698656354
13829,1,NA,47.0318747410899,1,200,200
13829,2,47.0318747410899,45.2447842024043,0.318471337579618,448,197.307742622209
13829,3,45.2447842024043,42.9728039909001,0.330578512396694,495,197.86665735791
13829,4,42.9728039909001,39.7780932392599,0.408163265306122,416,196.538681993555
13829,5,39.7780932392599,34.8087688623156,0.37593984962406,451,195.698371093167
13829,6,34.8087688623156,27.9349902927409,0.37037037037037,459,195.94386234641
13419,1,NA,56.3841769415774,1,200,200
